ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions,Ingredients_list,clean_Ingredients
21,Skincare,Open Pores,Dry,Redness; Excess Oil,banana; lemon juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['banana lemon juice'],banana lemon juice
22,Haircare,Split Ends,Normal,Dry Texture; Dark Spots,papaya; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['papaya green tea'],papaya green tea
23,Skincare,Open Pores,Combination,Hair Shedding; Uneven Tone,banana; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['banana aloe vera'],banana aloe vera
24,Haircare,Dry Hair,Curly,Dry Texture; Scalp Irritation,neem powder; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['neem powder rose water'],neem powder rose water
25,Skincare,Pigmentation,Normal,Redness; Inflammation,coconut oil; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['coconut oil aloe vera'],coconut oil aloe vera
26,Skincare,Open Pores,Normal,Dull Appearance; Breakage,lemon juice; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['lemon juice olive oil'],lemon juice olive oil
27,Haircare,Hair Thinning,Straight,Dark Spots; Inflammation,castor oil; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['castor oil gram flour'],castor oil gram flour
28,Skincare,Sensitive Skin,Dry,Roughness; Dull Appearance,coconut oil; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['coconut oil egg yolk'],coconut oil egg yolk
29,Haircare,Itchy Scalp,Dry,Flaky Skin; Dull Appearance,gram flour; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['gram flour olive oil'],gram flour olive oil
30,Haircare,Hair Growth,All,Roughness; Itching,rose water; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['rose water curd'],rose water curd
31,Skincare,Wrinkles,Sensitive,Dry Texture; Excess Oil,gram flour; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['gram flour papaya'],gram flour papaya
32,Skincare,Dry Skin,Dry,Roughness; Flaky Skin,papaya; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['papaya multani mitti'],papaya multani mitti
33,Skincare,Acne,Sensitive,Hair Shedding; Dry Texture,neem powder; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['neem powder banana'],neem powder banana
34,Haircare,Hair Fall,Normal,Dry Texture; Uneven Tone,curd; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['curd fenugreek seeds'],curd fenugreek seeds
35,Haircare,Oily Scalp,Curly,Inflammation; Excess Oil,neem powder; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['neem powder honey'],neem powder honey
36,Haircare,Split Ends,Dry,Hair Shedding; Scalp Irritation,papaya; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['papaya green tea'],papaya green tea
37,Skincare,Whiteheads,Combination,Hair Shedding; Dull Appearance,neem powder; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['neem powder onion juice'],neem powder onion juice
38,Skincare,Acne,Sensitive,Hair Shedding; Redness,onion juice; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['onion juice yogurt'],onion juice yogurt
39,Haircare,Frizzy Hair,Oily,Inflammation; Redness,honey; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['honey curd'],honey curd
40,Haircare,Dandruff,All,Scalp Irritation; Hair Shedding,neem powder; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['neem powder aloe vera'],neem powder aloe vera
41,Haircare,Hair Fall,Oily,Flaky Skin; Hair Shedding,lemon juice; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['lemon juice onion juice'],lemon juice onion juice
42,Skincare,Open Pores,Combination,Dull Appearance; Scalp Irritation,aloe vera; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['aloe vera coconut oil'],aloe vera coconut oil
43,Haircare,Hair Fall,Oily,Scalp Irritation; Itching,papaya; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['papaya castor oil'],papaya castor oil
44,Haircare,Hair Fall,All,Breakage; Excess Oil,rose water; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['rose water gram flour'],rose water gram flour
45,Haircare,Frizzy Hair,Oily,Dry Texture; Inflammation,onion juice; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['onion juice honey'],onion juice honey
46,Haircare,Hair Thinning,Curly,Dry Texture; Hair Shedding,castor oil; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['castor oil curd'],castor oil curd
47,Skincare,Open Pores,Normal,Scalp Irritation; Breakage,coconut oil; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['coconut oil banana'],coconut oil banana
48,Skincare,Wrinkles,Sensitive,Itching; Roughness,multani mitti; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['multani mitti papaya'],multani mitti papaya
49,Skincare,Whiteheads,Dry,Dull Appearance; Itching,multani mitti; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['multani mitti curd'],multani mitti curd
50,Skincare,Wrinkles,Oily,Itching; Breakage,papaya; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['papaya aloe vera'],papaya aloe vera
51,Haircare,Oily Scalp,Straight,Dull Appearance; Dry Texture,papaya; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['papaya yogurt'],papaya yogurt
52,Skincare,Pigmentation,Dry,Breakage; Excess Oil,lemon juice; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['lemon juice egg yolk'],lemon juice egg yolk
53,Haircare,Hair Fall,Normal,Dull Appearance; Inflammation,potato juice; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['potato juice aloe vera'],potato juice aloe vera
54,Skincare,Wrinkles,Combination,Hair Shedding; Dry Texture,coconut oil; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['coconut oil egg yolk'],coconut oil egg yolk
55,Haircare,Oily Scalp,All,Dull Appearance; Roughness,banana; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['banana onion juice'],banana onion juice
56,Haircare,Dry Hair,Curly,Redness; Itching,yogurt; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['yogurt honey'],yogurt honey
57,Haircare,Hair Thinning,Oily,Flaky Skin; Dull Appearance,green tea; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['green tea yogurt'],green tea yogurt
58,Skincare,Pigmentation,Normal,Hair Shedding; Excess Oil,curd; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['curd neem powder'],curd neem powder
59,Skincare,Dry Skin,Combination,Dull Appearance; Scalp Irritation,gram flour; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['gram flour onion juice'],gram flour onion juice
60,Skincare,Blackheads,Combination,Breakage; Dry Texture,castor oil; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['castor oil rose water'],castor oil rose water
61,Haircare,Hair Growth,Normal,Scalp Irritation; Excess Oil,honey; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['honey multani mitti'],honey multani mitti
62,Haircare,Premature Greying,Normal,Dark Spots; Flaky Skin,honey; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['honey turmeric'],honey turmeric
63,Haircare,Itchy Scalp,All,Uneven Tone; Dull Appearance,rose water; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['rose water banana'],rose water banana
64,Skincare,Dark Circles,Normal,Excess Oil; Breakage,egg yolk; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['egg yolk rose water'],egg yolk rose water
65,Skincare,Wrinkles,Normal,Excess Oil; Dark Spots,coconut oil; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['coconut oil curd'],coconut oil curd
66,Skincare,Open Pores,All,Dull Appearance; Scalp Irritation,turmeric; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['turmeric curd'],turmeric curd
67,Haircare,Oily Scalp,Curly,Scalp Irritation; Roughness,turmeric; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['turmeric egg yolk'],turmeric egg yolk
68,Skincare,Whiteheads,Sensitive,Scalp Irritation; Roughness,olive oil; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['olive oil honey'],olive oil honey
69,Skincare,Dry Skin,Normal,Roughness; Excess Oil,multani mitti; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['multani mitti gram flour'],multani mitti gram flour
70,Skincare,Blackheads,Normal,Excess Oil; Redness,yogurt; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['yogurt onion juice'],yogurt onion juice
71,Skincare,Acne,Combination,Inflammation; Dry Texture,green tea; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['green tea olive oil'],green tea olive oil
72,Haircare,Hair Fall,Dry,Excess Oil; Hair Shedding,rose water; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['rose water multani mitti'],rose water multani mitti
73,Skincare,Dull Skin,Normal,Redness; Itching,yogurt; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['yogurt olive oil'],yogurt olive oil
74,Skincare,Whiteheads,Sensitive,Flaky Skin; Itching,coconut oil; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['coconut oil honey'],coconut oil honey
75,Haircare,Frizzy Hair,Normal,Excess Oil; Uneven Tone,coconut oil; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['coconut oil olive oil'],coconut oil olive oil
76,Skincare,Dry Skin,Sensitive,Flaky Skin; Inflammation,multani mitti; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['multani mitti banana'],multani mitti banana
77,Haircare,Premature Greying,Oily,Dull Appearance; Itching,turmeric; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['turmeric banana'],turmeric banana
78,Haircare,Dry Hair,Dry,Scalp Irritation; Dark Spots,potato juice; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['potato juice yogurt'],potato juice yogurt
79,Skincare,Pigmentation,Oily,Dry Texture; Dark Spots,egg yolk; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['egg yolk rose water'],egg yolk rose water
80,Skincare,Sensitive Skin,Combination,Breakage; Inflammation,lemon juice; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['lemon juice neem powder'],lemon juice neem powder
81,Haircare,Dandruff,Curly,Inflammation; Flaky Skin,gram flour; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['gram flour banana'],gram flour banana
82,Skincare,Dull Skin,Oily,Hair Shedding; Flaky Skin,curd; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['curd papaya'],curd papaya
83,Skincare,Sun Tan,Sensitive,Itching; Redness,olive oil; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['olive oil castor oil'],olive oil castor oil
84,Haircare,Itchy Scalp,Dry,Dark Spots; Excess Oil,turmeric; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['turmeric papaya'],turmeric papaya
85,Skincare,Rashes,Dry,Inflammation; Flaky Skin,curd; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,['curd olive oil'],curd olive oil
86,Haircare,Hair Fall,Dry,Excess Oil; Dry Texture,aloe vera; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['aloe vera rose water'],aloe vera rose water
87,Skincare,Blackheads,All,Inflammation; Redness,papaya; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['papaya banana'],papaya banana
88,Haircare,Dandruff,Dry,Dark Spots; Hair Shedding,potato juice; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['potato juice egg yolk'],potato juice egg yolk
89,Skincare,Whiteheads,Sensitive,Excess Oil; Inflammation,fenugreek seeds; turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['fenugreek seeds turmeric'],fenugreek seeds turmeric
90,Haircare,Dry Hair,Straight,Flaky Skin; Hair Shedding,aloe vera; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['aloe vera egg yolk'],aloe vera egg yolk
91,Haircare,Itchy Scalp,All,Inflammation; Itching,papaya; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['papaya multani mitti'],papaya multani mitti
92,Skincare,Open Pores,Oily,Hair Shedding; Uneven Tone,multani mitti; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['multani mitti fenugreek seeds'],multani mitti fenugreek seeds
93,Haircare,Dry Hair,All,Dark Spots; Itching,papaya; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['papaya potato juice'],papaya potato juice
94,Skincare,Wrinkles,Dry,Dull Appearance; Itching,potato juice; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['potato juice coconut oil'],potato juice coconut oil
95,Haircare,Oily Scalp,All,Hair Shedding; Inflammation,neem powder; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['neem powder coconut oil'],neem powder coconut oil
96,Skincare,Whiteheads,Dry,Uneven Tone; Roughness,potato juice; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['potato juice egg yolk'],potato juice egg yolk
97,Haircare,Itchy Scalp,Straight,Excess Oil; Scalp Irritation,turmeric; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['turmeric fenugreek seeds'],turmeric fenugreek seeds
98,Haircare,Dry Hair,All,Uneven Tone; Flaky Skin,turmeric; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['turmeric gram flour'],turmeric gram flour
99,Skincare,Acne,Sensitive,Dull Appearance; Hair Shedding,multani mitti; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,['multani mitti banana'],multani mitti banana
100,Skincare,Rashes,Dry,Itching; Hair Shedding,gram flour; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['gram flour papaya'],gram flour papaya
101,Haircare,Frizzy Hair,All,Redness; Hair Shedding,aloe vera; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['aloe vera castor oil'],aloe vera castor oil
102,Skincare,Sensitive Skin,All,Breakage; Dry Texture,curd; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['curd banana'],curd banana
103,Haircare,Dry Hair,Straight,Redness; Roughness,castor oil; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['castor oil gram flour'],castor oil gram flour
104,Haircare,Dry Hair,Oily,Itching; Breakage,castor oil; egg yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['castor oil egg yolk'],castor oil egg yolk
105,Haircare,Premature Greying,Curly,Uneven Tone; Dull Appearance,rose water; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['rose water honey'],rose water honey
106,Skincare,Dark Circles,Normal,Redness; Breakage,neem powder; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['neem powder rose water'],neem powder rose water
107,Haircare,Frizzy Hair,Oily,Dull Appearance; Hair Shedding,castor oil; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['castor oil gram flour'],castor oil gram flour
108,Skincare,Open Pores,Combination,Flaky Skin; Redness,rose water; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['rose water green tea'],rose water green tea
109,Skincare,Blackheads,Dry,Itching; Redness,rose water; yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['rose water yogurt'],rose water yogurt
110,Skincare,Oily Skin,Oily,Excess Oil; Flaky Skin,gram flour; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['gram flour multani mitti'],gram flour multani mitti
111,Haircare,Premature Greying,Straight,Breakage; Dry Texture,banana; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['banana aloe vera'],banana aloe vera
112,Haircare,Premature Greying,Oily,Scalp Irritation; Excess Oil,rose water; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['rose water gram flour'],rose water gram flour
113,Haircare,Split Ends,Curly,Uneven Tone; Inflammation,honey; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['honey onion juice'],honey onion juice
114,Haircare,Split Ends,Straight,Hair Shedding; Itching,yogurt; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['yogurt olive oil'],yogurt olive oil
115,Skincare,Pigmentation,All,Hair Shedding; Flaky Skin,papaya; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['papaya multani mitti'],papaya multani mitti
116,Skincare,Pigmentation,Dry,Dry Texture; Inflammation,turmeric; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['turmeric curd'],turmeric curd
117,Skincare,Whiteheads,Sensitive,Inflammation; Itching,papaya; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['papaya potato juice'],papaya potato juice
118,Skincare,Whiteheads,Combination,Uneven Tone; Breakage,lemon juice; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['lemon juice onion juice'],lemon juice onion juice
119,Haircare,Frizzy Hair,Normal,Roughness; Itching,fenugreek seeds; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,['fenugreek seeds olive oil'],fenugreek seeds olive oil
120,Haircare,Split Ends,Normal,Uneven Tone; Flaky Skin,aloe vera; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['aloe vera multani mitti'],aloe vera multani mitti
