Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_list,clean_Ingredients
14-18,Normal,Normal to Oily,Yes,Redness,General,aloe vera + centella asiatica + chamomile extract,8% + 2% + 3%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation",['aloe vera  centella asiatica  chamomile extract'],aloe vera  centella asiatica  chamomile extract
14-18,Normal,Normal to Oily,Yes,Sun Tan,General,aloe vera + licorice extract + alpha arbutin,2% + 3% + 8%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots",['aloe vera  licorice extract  alpha arbutin'],aloe vera  licorice extract  alpha arbutin
14-18,Normal,Normal to Oily,Yes,Whiteheads / Blackheads,General,glycolic acid + niacinamide + zinc pca,5% + 8% + 3%,"Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum, Controls sebum production",['glycolic acid  niacinamide  zinc pca'],glycolic acid  niacinamide  zinc pca
14-18,Normal,Normal to Oily,Yes,Wrinkles,General,peptides + niacinamide + retinol,0.5% + 10% + 1%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles",['peptides  niacinamide  retinol'],peptides  niacinamide  retinol
14-18,Normal,Normal to Oily,No,Acne,Comedonal,niacinamide + salicylic acid + benzoyl peroxide,8% + 1% + 0.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria",['niacinamide  salicylic acid  benzoyl peroxide'],niacinamide  salicylic acid  benzoyl peroxide
14-18,Normal,Normal to Oily,No,Acne,Inflammatory,salicylic acid + niacinamide + benzoyl peroxide,3% + 0.5% + 8%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria",['salicylic acid  niacinamide  benzoyl peroxide'],salicylic acid  niacinamide  benzoyl peroxide
14-18,Normal,Normal to Oily,No,Acne,Nodular,benzoyl peroxide + niacinamide + zinc pca,5% + 0.5% + 1%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production",['benzoyl peroxide  niacinamide  zinc pca'],benzoyl peroxide  niacinamide  zinc pca
14-18,Normal,Normal to Oily,No,Acne,Cystic,zinc pca + niacinamide + benzoyl peroxide,8% + 10% + 5%,"Controls sebum production, Reduces inflammation and regulates sebum, Kills acne-causing bacteria",['zinc pca  niacinamide  benzoyl peroxide'],zinc pca  niacinamide  benzoyl peroxide
14-18,Normal,Normal to Oily,No,Dark Circles,Pigmented,hyaluronic acid + niacinamide + licorice extract,2% + 0.5% + 5%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['hyaluronic acid  niacinamide  licorice extract'],hyaluronic acid  niacinamide  licorice extract
14-18,Normal,Normal to Oily,No,Dark Circles,Vascular,caffeine + hyaluronic acid + licorice extract,8% + 5% + 10%,"Reduces puffiness and improves circulation, Hydrates and plumps the skin, Lightens dark spots and evens skin tone",['caffeine  hyaluronic acid  licorice extract'],caffeine  hyaluronic acid  licorice extract
14-18,Normal,Normal to Oily,No,Dark Spots,General,kojic acid + vitamin c + alpha arbutin,8% + 2% + 5%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots",['kojic acid  vitamin c  alpha arbutin'],kojic acid  vitamin c  alpha arbutin
14-18,Normal,Normal to Oily,No,Dullness,General,hyaluronic acid + vitamin c + lactic acid,10% + 2% + 0.5%,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance",['hyaluronic acid  vitamin c  lactic acid'],hyaluronic acid  vitamin c  lactic acid
14-18,Normal,Normal to Oily,No,Hyperpigmentation,General,licorice extract + tranexamic acid + vitamin c,2% + 8% + 10%,"Lightens dark spots and evens skin tone, Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation",['licorice extract  tranexamic acid  vitamin c'],licorice extract  tranexamic acid  vitamin c
14-18,Normal,Normal to Oily,No,Open Pores,General,salicylic acid + green tea extract + niacinamide,0.5% + 10% + 5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['salicylic acid  green tea extract  niacinamide'],salicylic acid  green tea extract  niacinamide
14-18,Normal,Normal to Oily,No,Redness,General,green tea extract + chamomile extract + niacinamide,10% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation, Reduces inflammation and regulates sebum",['green tea extract  chamomile extract  niacinamide'],green tea extract  chamomile extract  niacinamide
14-18,Normal,Normal to Oily,No,Sun Tan,General,licorice extract + aloe vera + alpha arbutin,3% + 1% + 0.5%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots",['licorice extract  aloe vera  alpha arbutin'],licorice extract  aloe vera  alpha arbutin
14-18,Normal,Normal to Oily,No,Whiteheads / Blackheads,General,niacinamide + glycolic acid + willow bark extract,5% + 8% + 0.5%,"Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores",['niacinamide  glycolic acid  willow bark extract'],niacinamide  glycolic acid  willow bark extract
14-18,Normal,Normal to Oily,No,Wrinkles,General,niacinamide + hyaluronic acid + coenzyme q10,10% + 1% + 2%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair",['niacinamide  hyaluronic acid  coenzyme q'],niacinamide  hyaluronic acid  coenzyme q
14-18,Dry,Dry to Normal,Yes,Acne,Comedonal,azelaic acid + green tea extract + niacinamide,2% + 1% + 0.5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['azelaic acid  green tea extract  niacinamide'],azelaic acid  green tea extract  niacinamide
14-18,Dry,Dry to Normal,Yes,Acne,Inflammatory,salicylic acid + azelaic acid + green tea extract,0.5% + 2% + 8%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits",['salicylic acid  azelaic acid  green tea extract'],salicylic acid  azelaic acid  green tea extract
14-18,Dry,Dry to Normal,Yes,Acne,Nodular,zinc pca + niacinamide + green tea extract,5% + 2% + 10%,"Controls sebum production, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits",['zinc pca  niacinamide  green tea extract'],zinc pca  niacinamide  green tea extract
14-18,Dry,Dry to Normal,Yes,Acne,Cystic,zinc pca + green tea extract + salicylic acid,10% + 8% + 3%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil",['zinc pca  green tea extract  salicylic acid'],zinc pca  green tea extract  salicylic acid
14-18,Dry,Dry to Normal,Yes,Dark Circles,Pigmented,niacinamide + caffeine + hyaluronic acid,5% + 2% + 10%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Hydrates and plumps the skin",['niacinamide  caffeine  hyaluronic acid'],niacinamide  caffeine  hyaluronic acid
14-18,Dry,Dry to Normal,Yes,Dark Circles,Vascular,caffeine + niacinamide + hyaluronic acid,5% + 10% + 8%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin",['caffeine  niacinamide  hyaluronic acid'],caffeine  niacinamide  hyaluronic acid
14-18,Dry,Dry to Normal,Yes,Dark Spots,General,alpha arbutin + vitamin c + niacinamide,0.5% + 2% + 10%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['alpha arbutin  vitamin c  niacinamide'],alpha arbutin  vitamin c  niacinamide
14-18,Dry,Dry to Normal,Yes,Dullness,General,lactic acid + vitamin c + hyaluronic acid,3% + 2% + 5%,"Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation, Hydrates and plumps the skin",['lactic acid  vitamin c  hyaluronic acid'],lactic acid  vitamin c  hyaluronic acid
14-18,Dry,Dry to Normal,Yes,Hyperpigmentation,General,licorice extract + alpha arbutin + niacinamide,8% + 5% + 2%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum",['licorice extract  alpha arbutin  niacinamide'],licorice extract  alpha arbutin  niacinamide
14-18,Dry,Dry to Normal,Yes,Open Pores,General,niacinamide + clay + green tea extract,5% + 2% + 0.5%,"Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits",['niacinamide  clay  green tea extract'],niacinamide  clay  green tea extract
14-18,Dry,Dry to Normal,Yes,Redness,General,niacinamide + chamomile extract + centella asiatica,2% + 1% + 0.5%,"Reduces inflammation and regulates sebum, Calms redness and irritation, Soothes irritation and repairs skin barrier",['niacinamide  chamomile extract  centella asiatica'],niacinamide  chamomile extract  centella asiatica
14-18,Dry,Dry to Normal,Yes,Sun Tan,General,niacinamide + aloe vera + vitamin c,2% + 5% + 10%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation",['niacinamide  aloe vera  vitamin c'],niacinamide  aloe vera  vitamin c
14-18,Dry,Dry to Normal,Yes,Whiteheads / Blackheads,General,glycolic acid + zinc pca + niacinamide,10% + 3% + 5%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum",['glycolic acid  zinc pca  niacinamide'],glycolic acid  zinc pca  niacinamide
14-18,Dry,Dry to Normal,Yes,Wrinkles,General,hyaluronic acid + coenzyme q10 + niacinamide,5% + 8% + 0.5%,"Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum",['hyaluronic acid  coenzyme q  niacinamide'],hyaluronic acid  coenzyme q  niacinamide
14-18,Dry,Dry to Normal,No,Acne,Comedonal,zinc pca + azelaic acid + benzoyl peroxide,1% + 3% + 10%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria",['zinc pca  azelaic acid  benzoyl peroxide'],zinc pca  azelaic acid  benzoyl peroxide
14-18,Dry,Dry to Normal,No,Acne,Inflammatory,benzoyl peroxide + azelaic acid + salicylic acid,1% + 10% + 5%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['benzoyl peroxide  azelaic acid  salicylic acid'],benzoyl peroxide  azelaic acid  salicylic acid
14-18,Dry,Dry to Normal,No,Acne,Nodular,green tea extract + niacinamide + salicylic acid,0.5% + 10% + 8%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil",['green tea extract  niacinamide  salicylic acid'],green tea extract  niacinamide  salicylic acid
14-18,Dry,Dry to Normal,No,Acne,Cystic,benzoyl peroxide + niacinamide + azelaic acid,10% + 2% + 1%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture",['benzoyl peroxide  niacinamide  azelaic acid'],benzoyl peroxide  niacinamide  azelaic acid
14-18,Dry,Dry to Normal,No,Dark Circles,Pigmented,vitamin c + vitamin k + caffeine,0.5% + 3% + 8%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces puffiness and improves circulation",['vitamin c  vitamin k  caffeine'],vitamin c  vitamin k  caffeine
14-18,Dry,Dry to Normal,No,Dark Circles,Vascular,licorice extract + hyaluronic acid + vitamin c,5% + 0.5% + 1%,"Lightens dark spots and evens skin tone, Hydrates and plumps the skin, Brightens skin and reduces pigmentation",['licorice extract  hyaluronic acid  vitamin c'],licorice extract  hyaluronic acid  vitamin c
14-18,Dry,Dry to Normal,No,Dark Spots,General,licorice extract + kojic acid + alpha arbutin,8% + 10% + 3%,"Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration, Reduces hyperpigmentation and dark spots",['licorice extract  kojic acid  alpha arbutin'],licorice extract  kojic acid  alpha arbutin
14-18,Dry,Dry to Normal,No,Dullness,General,green tea extract + niacinamide + vitamin c,3% + 0.5% + 5%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['green tea extract  niacinamide  vitamin c'],green tea extract  niacinamide  vitamin c
14-18,Dry,Dry to Normal,No,Hyperpigmentation,General,tranexamic acid + vitamin c + niacinamide,3% + 10% + 5%,"Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['tranexamic acid  vitamin c  niacinamide'],tranexamic acid  vitamin c  niacinamide
14-18,Dry,Dry to Normal,No,Open Pores,General,green tea extract + azelaic acid + salicylic acid,5% + 1% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['green tea extract  azelaic acid  salicylic acid'],green tea extract  azelaic acid  salicylic acid
14-18,Dry,Dry to Normal,No,Redness,General,centella asiatica + green tea extract + aloe vera,8% + 2% + 5%,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Soothes and hydrates irritated skin",['centella asiatica  green tea extract  aloe vera'],centella asiatica  green tea extract  aloe vera
14-18,Dry,Dry to Normal,No,Sun Tan,General,vitamin c + niacinamide + licorice extract,0.5% + 8% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['vitamin c  niacinamide  licorice extract'],vitamin c  niacinamide  licorice extract
14-18,Dry,Dry to Normal,No,Whiteheads / Blackheads,General,niacinamide + zinc pca + willow bark extract,5% + 0.5% + 8%,"Reduces inflammation and regulates sebum, Controls sebum production, Naturally exfoliates and clears pores",['niacinamide  zinc pca  willow bark extract'],niacinamide  zinc pca  willow bark extract
14-18,Dry,Dry to Normal,No,Wrinkles,General,peptides + coenzyme q10 + niacinamide,10% + 0.5% + 5%,"Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum",['peptides  coenzyme q  niacinamide'],peptides  coenzyme q  niacinamide
14-18,Dry,Extreme Dry,Yes,Acne,Comedonal,benzoyl peroxide + green tea extract + azelaic acid,3% + 10% + 2%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture",['benzoyl peroxide  green tea extract  azelaic acid'],benzoyl peroxide  green tea extract  azelaic acid
14-18,Dry,Extreme Dry,Yes,Acne,Inflammatory,salicylic acid + green tea extract + niacinamide,8% + 0.5% + 3%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['salicylic acid  green tea extract  niacinamide'],salicylic acid  green tea extract  niacinamide
14-18,Dry,Extreme Dry,Yes,Acne,Nodular,niacinamide + benzoyl peroxide + azelaic acid,1% + 0.5% + 5%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Reduces acne and improves skin texture",['niacinamide  benzoyl peroxide  azelaic acid'],niacinamide  benzoyl peroxide  azelaic acid
14-18,Dry,Extreme Dry,Yes,Acne,Cystic,azelaic acid + green tea extract + benzoyl peroxide,8% + 1% + 0.5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria",['azelaic acid  green tea extract  benzoyl peroxide'],azelaic acid  green tea extract  benzoyl peroxide
14-18,Dry,Extreme Dry,Yes,Dark Circles,Pigmented,vitamin c + niacinamide + licorice extract,2% + 0.5% + 8%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone",['vitamin c  niacinamide  licorice extract'],vitamin c  niacinamide  licorice extract
14-18,Dry,Extreme Dry,Yes,Dark Circles,Vascular,vitamin k + caffeine + hyaluronic acid,2% + 3% + 5%,"Improves blood circulation under eyes, Reduces puffiness and improves circulation, Hydrates and plumps the skin",['vitamin k  caffeine  hyaluronic acid'],vitamin k  caffeine  hyaluronic acid
14-18,Dry,Extreme Dry,Yes,Dark Spots,General,vitamin c + niacinamide + kojic acid,10% + 1% + 5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration",['vitamin c  niacinamide  kojic acid'],vitamin c  niacinamide  kojic acid
14-18,Dry,Extreme Dry,Yes,Dullness,General,green tea extract + lactic acid + vitamin c,1% + 3% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation",['green tea extract  lactic acid  vitamin c'],green tea extract  lactic acid  vitamin c
